year,al team,al score,link,birthplace,birthdate,college,was_in_college,name
1903,Boston Americans,5,https://www.baseball-almanac.com/players/player.php?p=dinnebi01,USA,1876-04-05,None Attended,False,Bill Dinneen
1903,Boston Americans,5,https://www.baseball-almanac.com/players/player.php?p=hugheto01,USA,1878-11-29,None Attended,False,Tom Hughes
1903,Boston Americans,5,https://www.baseball-almanac.com/players/player.php?p=youngcy01,USA,1867-03-29,None Attended,False,Cy Young
1905,Philadelphia Athletics,1,https://www.baseball-almanac.com/players/player.php?p=bendech01,USA,1884-05-05,None Attended,False,Chief Bender
1905,Philadelphia Athletics,1,https://www.baseball-almanac.com/players/player.php?p=coaklan01,USA,1882-11-20,College of the Holy Cross,True,Andy Coakley
1905,Philadelphia Athletics,1,https://www.baseball-almanac.com/players/player.php?p=planked01,USA,1875-08-31,Pennsylvania College,True,Eddie Plank
1906,Chicago White Sox,4,https://www.baseball-almanac.com/players/player.php?p=altroni01,USA,1876-09-15,None Attended,False,Nick Altrock
1906,Chicago White Sox,4,https://www.baseball-almanac.com/players/player.php?p=owenfr01,USA,1879-12-23,None Attended,False,Frank Owen
1906,Chicago White Sox,4,https://www.baseball-almanac.com/players/player.php?p=walshed01,USA,1881-05-19,St. John's College,True,Ed Walsh
1906,Chicago White Sox,4,https://www.baseball-almanac.com/players/player.php?p=whitedo01,USA,1879-04-09,Georgetown University,True,Doc White
1907,Detroit Tigers,0,https://www.baseball-almanac.com/players/player.php?p=donovbi01,USA,1876-10-13,None Attended,False,Bill Donovan
1907,Detroit Tigers,0,https://www.baseball-almanac.com/players/player.php?p=killied01,USA,1876-11-12,None Attended,False,Ed Killian
1907,Detroit Tigers,0,https://www.baseball-almanac.com/players/player.php?p=mullige01,USA,1880-07-04,None Attended,False,George Mullin
1907,Detroit Tigers,0,https://www.baseball-almanac.com/players/player.php?p=sieveed01,USA,1875-04-02,None Attended,False,Ed Siever
1908,Detroit Tigers,1,https://www.baseball-almanac.com/players/player.php?p=donovbi01,USA,1876-10-13,None Attended,False,Bill Donovan
1908,Detroit Tigers,1,https://www.baseball-almanac.com/players/player.php?p=killied01,USA,1876-11-12,None Attended,False,Ed Killian
1908,Detroit Tigers,1,https://www.baseball-almanac.com/players/player.php?p=mullige01,USA,1880-07-04,None Attended,False,George Mullin
1908,Detroit Tigers,1,https://www.baseball-almanac.com/players/player.php?p=summeed01,USA,1884-12-05,None Attended,False,Ed Summers
1908,Detroit Tigers,1,https://www.baseball-almanac.com/players/player.php?p=wintege01,USA,1878-04-27,Pennsylvania College,True,George Winter
1909,Detroit Tigers,3,https://www.baseball-almanac.com/players/player.php?p=donovbi01,USA,1876-10-13,None Attended,False,Bill Donovan
1909,Detroit Tigers,3,https://www.baseball-almanac.com/players/player.php?p=mullige01,USA,1880-07-04,None Attended,False,George Mullin
1909,Detroit Tigers,3,https://www.baseball-almanac.com/players/player.php?p=summeed01,USA,1884-12-05,None Attended,False,Ed Summers
1909,Detroit Tigers,3,https://www.baseball-almanac.com/players/player.php?p=willeed01,USA,1884-03-07,None Attended,False,Ed Willett
1909,Detroit Tigers,3,https://www.baseball-almanac.com/players/player.php?p=worksra01,USA,1888-03-16,None Attended,False,Ralph Works
1910,Philadelphia Athletics,4,https://www.baseball-almanac.com/players/player.php?p=bendech01,USA,1884-05-05,None Attended,False,Chief Bender
1910,Philadelphia Athletics,4,https://www.baseball-almanac.com/players/player.php?p=coombja01,USA,1882-11-18,Colby College,True,Jack Coombs
1911,Philadelphia Athletics,4,https://www.baseball-almanac.com/players/player.php?p=bendech01,USA,1884-05-05,None Attended,False,Chief Bender
1911,Philadelphia Athletics,4,https://www.baseball-almanac.com/players/player.php?p=coombja01,USA,1882-11-18,Colby College,True,Jack Coombs
