name,birthplace,birthdate,college,link,was_in_college
Bill Dinneen,USA,1876-04-05,None Attended,https://www.baseball-almanac.com/players/player.php?p=dinnebi01,False
Tom Hughes,USA,1878-11-29,None Attended,https://www.baseball-almanac.com/players/player.php?p=hugheto01,False
Cy Young,USA,1867-03-29,None Attended,https://www.baseball-almanac.com/players/player.php?p=youngcy01,False
Brickyard Kennedy,USA,1867-10-07,None Attended,https://www.baseball-almanac.com/players/player.php?p=kennebr01,False
Sam Leever,USA,1871-12-23,None Attended,https://www.baseball-almanac.com/players/player.php?p=leevesa01,False
Deacon Phillippe,USA,1872-05-23,None Attended,https://www.baseball-almanac.com/players/player.php?p=phillde01,False
Gus Thompson,USA,1877-06-22,None Attended,https://www.baseball-almanac.com/players/player.php?p=thompgu01,False
Bucky Veil,USA,1881-08-02,Bucknell University,https://www.baseball-almanac.com/players/player.php?p=veilbu01,True
Red Ames,USA,1882-08-02,None Attended,https://www.baseball-almanac.com/players/player.php?p=amesre01,False
Christy Mathewson,USA,1880-08-12,Bucknell University,https://www.baseball-almanac.com/players/player.php?p=mathech01,True
Joe Mcginnity,USA,1871-03-20,None Attended,https://www.baseball-almanac.com/players/player.php?p=mcginjo01,False
Chief Bender,USA,1884-05-05,None Attended,https://www.baseball-almanac.com/players/player.php?p=bendech01,False
Andy Coakley,USA,1882-11-20,College of the Holy Cross,https://www.baseball-almanac.com/players/player.php?p=coaklan01,True
Eddie Plank,USA,1875-08-31,Pennsylvania College,https://www.baseball-almanac.com/players/player.php?p=planked01,True
Nick Altrock,USA,1876-09-15,None Attended,https://www.baseball-almanac.com/players/player.php?p=altroni01,False
Frank Owen,USA,1879-12-23,None Attended,https://www.baseball-almanac.com/players/player.php?p=owenfr01,False
Ed Walsh,USA,1881-05-19,St. John's College,https://www.baseball-almanac.com/players/player.php?p=walshed01,True
Doc White,USA,1879-04-09,Georgetown University,https://www.baseball-almanac.com/players/player.php?p=whitedo01,True
Mordecai Brown,USA,1876-10-19,None Attended,https://www.baseball-almanac.com/players/player.php?p=brownmo01,False
Orval Overall,USA,1881-02-02,"  University of California, Berkeley",https://www.baseball-almanac.com/players/player.php?p=overaor01,True
Jack Pfiester,USA,1878-05-24,None Attended,https://www.baseball-almanac.com/players/player.php?p=pfiesja01,False
Ed Reulbach,USA,1882-12-01,University of Notre Dame,https://www.baseball-almanac.com/players/player.php?p=reulbed01,True
Bill Donovan,USA,1876-10-13,None Attended,https://www.baseball-almanac.com/players/player.php?p=donovbi01,False
Ed Killian,USA,1876-11-12,None Attended,https://www.baseball-almanac.com/players/player.php?p=killied01,False
George Mullin,USA,1880-07-04,None Attended,https://www.baseball-almanac.com/players/player.php?p=mullige01,False
Ed Siever,USA,1875-04-02,None Attended,https://www.baseball-almanac.com/players/player.php?p=sieveed01,False
Ed Summers,USA,1884-12-05,None Attended,https://www.baseball-almanac.com/players/player.php?p=summeed01,False
George Winter,USA,1878-04-27,Pennsylvania College,https://www.baseball-almanac.com/players/player.php?p=wintege01,True
Babe Adams,USA,1882-05-18,None Attended,https://www.baseball-almanac.com/players/player.php?p=adamsba01,False
Howie Camnitz,USA,1881-08-22,Centre College,https://www.baseball-almanac.com/players/player.php?p=camniho01,True
Lefty Leifield,USA,1883-09-05,None Attended,https://www.baseball-almanac.com/players/player.php?p=leifile01,False
