year,nl,nl score,name_x,link,name_y,birthplace,birthdate,college,was_in_college
1903,Pittsburgh Pirates,3,Brickyard Kennedy,https://www.baseball-almanac.com/players/player.php?p=kennebr01,Brickyard Kennedy,USA,1867-10-07,None Attended,False
1903,Pittsburgh Pirates,3,Sam Leever,https://www.baseball-almanac.com/players/player.php?p=leevesa01,Sam Leever,USA,1871-12-23,None Attended,False
1903,Pittsburgh Pirates,3,Deacon Phillippe,https://www.baseball-almanac.com/players/player.php?p=phillde01,Deacon Phillippe,USA,1872-05-23,None Attended,False
1903,Pittsburgh Pirates,3,Gus Thompson,https://www.baseball-almanac.com/players/player.php?p=thompgu01,Gus Thompson,USA,1877-06-22,None Attended,False
1903,Pittsburgh Pirates,3,Bucky Veil,https://www.baseball-almanac.com/players/player.php?p=veilbu01,Bucky Veil,USA,1881-08-02,Bucknell University,True
1905,New York Giants,4,Red Ames,https://www.baseball-almanac.com/players/player.php?p=amesre01,Red Ames,USA,1882-08-02,None Attended,False
1905,New York Giants,4,Christy Mathewson,https://www.baseball-almanac.com/players/player.php?p=mathech01,Christy Mathewson,USA,1880-08-12,Bucknell University,True
1905,New York Giants,4,Joe Mcginnity,https://www.baseball-almanac.com/players/player.php?p=mcginjo01,Joe Mcginnity,USA,1871-03-20,None Attended,False
1906,Chicago Cubs,2,Mordecai Brown,https://www.baseball-almanac.com/players/player.php?p=brownmo01,Mordecai Brown,USA,1876-10-19,None Attended,False
1906,Chicago Cubs,2,Orval Overall,https://www.baseball-almanac.com/players/player.php?p=overaor01,Orval Overall,USA,1881-02-02,"  University of California, Berkeley",True
1906,Chicago Cubs,2,Jack Pfiester,https://www.baseball-almanac.com/players/player.php?p=pfiesja01,Jack Pfiester,USA,1878-05-24,None Attended,False
1906,Chicago Cubs,2,Ed Reulbach,https://www.baseball-almanac.com/players/player.php?p=reulbed01,Ed Reulbach,USA,1882-12-01,University of Notre Dame,True
1907,Chicago Cubs,4,Mordecai Brown,https://www.baseball-almanac.com/players/player.php?p=brownmo01,Mordecai Brown,USA,1876-10-19,None Attended,False
1907,Chicago Cubs,4,Orval Overall,https://www.baseball-almanac.com/players/player.php?p=overaor01,Orval Overall,USA,1881-02-02,"  University of California, Berkeley",True
1907,Chicago Cubs,4,Jack Pfiester,https://www.baseball-almanac.com/players/player.php?p=pfiesja01,Jack Pfiester,USA,1878-05-24,None Attended,False
1907,Chicago Cubs,4,Ed Reulbach,https://www.baseball-almanac.com/players/player.php?p=reulbed01,Ed Reulbach,USA,1882-12-01,University of Notre Dame,True
