team_name
Pittsburgh Pirates
New York Giants
Chicago Cubs
Boston Braves
Philadelphia Phillies
Brooklyn Robins
Cincinnati Reds
St. Louis Cardinals
Brooklyn Dodgers
Milwaukee Braves
Los Angeles Dodgers
San Francisco Giants
New York Mets
San Diego Padres
Atlanta Braves
Florida Marlins
Arizona Diamondbacks
Houston Astros
Colorado Rockies
Washington Nationals
Boston Americans
Philadelphia Athletics
Chicago White Sox
Detroit Tigers
Boston Red Sox
Cleveland Indians
New York Yankees
Washington Senators
St. Louis Browns
Minnesota Twins
Baltimore Orioles
Oakland Athletics
Kansas City Royals
Milwaukee Brewers
Toronto Blue Jays
Anaheim Angels
Tampa Bay Rays
Texas Rangers
