year,nl,nl score,al,al score,games_links,al pitchers,nl pitchers,al pitchers links,nl pitchers links,al pitchers and links,nl pitchers and links
1903,Pittsburgh Pirates,3,Boston Americans,5,https://www.baseball-almanac.com/ws/yr1903ws.shtml,"['Bill Dinneen', 'Tom Hughes', 'Cy Young']","['Brickyard Kennedy', 'Sam Leever', 'Deacon Phillippe', 'Gus Thompson', 'Bucky Veil']","['https://www.baseball-almanac.com/players/player.php?p=dinnebi01', 'https://www.baseball-almanac.com/players/player.php?p=hugheto01', 'https://www.baseball-almanac.com/players/player.php?p=youngcy01']","['https://www.baseball-almanac.com/players/player.php?p=kennebr01', 'https://www.baseball-almanac.com/players/player.php?p=leevesa01', 'https://www.baseball-almanac.com/players/player.php?p=phillde01', 'https://www.baseball-almanac.com/players/player.php?p=thompgu01', 'https://www.baseball-almanac.com/players/player.php?p=veilbu01']","[{'pitcher_name': 'Bill Dinneen', 'link': 'https://www.baseball-almanac.com/players/player.php?p=dinnebi01'}, {'pitcher_name': 'Tom Hughes', 'link': 'https://www.baseball-almanac.com/players/player.php?p=hugheto01'}, {'pitcher_name': 'Cy Young', 'link': 'https://www.baseball-almanac.com/players/player.php?p=youngcy01'}]","[{'pitcher_name': 'Brickyard Kennedy', 'link': 'https://www.baseball-almanac.com/players/player.php?p=kennebr01'}, {'pitcher_name': 'Sam Leever', 'link': 'https://www.baseball-almanac.com/players/player.php?p=leevesa01'}, {'pitcher_name': 'Deacon Phillippe', 'link': 'https://www.baseball-almanac.com/players/player.php?p=phillde01'}, {'pitcher_name': 'Gus Thompson', 'link': 'https://www.baseball-almanac.com/players/player.php?p=thompgu01'}, {'pitcher_name': 'Bucky Veil', 'link': 'https://www.baseball-almanac.com/players/player.php?p=veilbu01'}]"
1905,New York Giants,4,Philadelphia Athletics,1,https://www.baseball-almanac.com/ws/yr1905ws.shtml,"['Chief Bender', 'Andy Coakley', 'Eddie Plank']","['Red Ames', 'Christy Mathewson', 'Joe Mcginnity']","['https://www.baseball-almanac.com/players/player.php?p=bendech01', 'https://www.baseball-almanac.com/players/player.php?p=coaklan01', 'https://www.baseball-almanac.com/players/player.php?p=planked01']","['https://www.baseball-almanac.com/players/player.php?p=amesre01', 'https://www.baseball-almanac.com/players/player.php?p=mathech01', 'https://www.baseball-almanac.com/players/player.php?p=mcginjo01']","[{'pitcher_name': 'Chief Bender', 'link': 'https://www.baseball-almanac.com/players/player.php?p=bendech01'}, {'pitcher_name': 'Andy Coakley', 'link': 'https://www.baseball-almanac.com/players/player.php?p=coaklan01'}, {'pitcher_name': 'Eddie Plank', 'link': 'https://www.baseball-almanac.com/players/player.php?p=planked01'}]","[{'pitcher_name': 'Red Ames', 'link': 'https://www.baseball-almanac.com/players/player.php?p=amesre01'}, {'pitcher_name': 'Christy Mathewson', 'link': 'https://www.baseball-almanac.com/players/player.php?p=mathech01'}, {'pitcher_name': 'Joe Mcginnity', 'link': 'https://www.baseball-almanac.com/players/player.php?p=mcginjo01'}]"
1906,Chicago Cubs,2,Chicago White Sox,4,https://www.baseball-almanac.com/ws/yr1906ws.shtml,"['Nick Altrock', 'Frank Owen', 'Ed Walsh', 'Doc White']","['Mordecai Brown', 'Orval Overall', 'Jack Pfiester', 'Ed Reulbach']","['https://www.baseball-almanac.com/players/player.php?p=altroni01', 'https://www.baseball-almanac.com/players/player.php?p=owenfr01', 'https://www.baseball-almanac.com/players/player.php?p=walshed01', 'https://www.baseball-almanac.com/players/player.php?p=whitedo01']","['https://www.baseball-almanac.com/players/player.php?p=brownmo01', 'https://www.baseball-almanac.com/players/player.php?p=overaor01', 'https://www.baseball-almanac.com/players/player.php?p=pfiesja01', 'https://www.baseball-almanac.com/players/player.php?p=reulbed01']","[{'pitcher_name': 'Nick Altrock', 'link': 'https://www.baseball-almanac.com/players/player.php?p=altroni01'}, {'pitcher_name': 'Frank Owen', 'link': 'https://www.baseball-almanac.com/players/player.php?p=owenfr01'}, {'pitcher_name': 'Ed Walsh', 'link': 'https://www.baseball-almanac.com/players/player.php?p=walshed01'}, {'pitcher_name': 'Doc White', 'link': 'https://www.baseball-almanac.com/players/player.php?p=whitedo01'}]","[{'pitcher_name': 'Mordecai Brown', 'link': 'https://www.baseball-almanac.com/players/player.php?p=brownmo01'}, {'pitcher_name': 'Orval Overall', 'link': 'https://www.baseball-almanac.com/players/player.php?p=overaor01'}, {'pitcher_name': 'Jack Pfiester', 'link': 'https://www.baseball-almanac.com/players/player.php?p=pfiesja01'}, {'pitcher_name': 'Ed Reulbach', 'link': 'https://www.baseball-almanac.com/players/player.php?p=reulbed01'}]"
1907,Chicago Cubs,4,Detroit Tigers,0,https://www.baseball-almanac.com/ws/yr1907ws.shtml,"['Bill Donovan', 'Ed Killian', 'George Mullin', 'Ed Siever']","['Mordecai Brown', 'Orval Overall', 'Jack Pfiester', 'Ed Reulbach']","['https://www.baseball-almanac.com/players/player.php?p=donovbi01', 'https://www.baseball-almanac.com/players/player.php?p=killied01', 'https://www.baseball-almanac.com/players/player.php?p=mullige01', 'https://www.baseball-almanac.com/players/player.php?p=sieveed01']","['https://www.baseball-almanac.com/players/player.php?p=brownmo01', 'https://www.baseball-almanac.com/players/player.php?p=overaor01', 'https://www.baseball-almanac.com/players/player.php?p=pfiesja01', 'https://www.baseball-almanac.com/players/player.php?p=reulbed01']","[{'pitcher_name': 'Bill Donovan', 'link': 'https://www.baseball-almanac.com/players/player.php?p=donovbi01'}, {'pitcher_name': 'Ed Killian', 'link': 'https://www.baseball-almanac.com/players/player.php?p=killied01'}, {'pitcher_name': 'George Mullin', 'link': 'https://www.baseball-almanac.com/players/player.php?p=mullige01'}, {'pitcher_name': 'Ed Siever', 'link': 'https://www.baseball-almanac.com/players/player.php?p=sieveed01'}]","[{'pitcher_name': 'Mordecai Brown', 'link': 'https://www.baseball-almanac.com/players/player.php?p=brownmo01'}, {'pitcher_name': 'Orval Overall', 'link': 'https://www.baseball-almanac.com/players/player.php?p=overaor01'}, {'pitcher_name': 'Jack Pfiester', 'link': 'https://www.baseball-almanac.com/players/player.php?p=pfiesja01'}, {'pitcher_name': 'Ed Reulbach', 'link': 'https://www.baseball-almanac.com/players/player.php?p=reulbed01'}]"
1908,Chicago Cubs,4,Detroit Tigers,1,https://www.baseball-almanac.com/ws/yr1908ws.shtml,"['Bill Donovan', 'Ed Killian', 'George Mullin', 'Ed Summers', 'George Winter']","['Mordecai Brown', 'Orval Overall', 'Jack Pfiester', 'Ed Reulbach']","['https://www.baseball-almanac.com/players/player.php?p=donovbi01', 'https://www.baseball-almanac.com/players/player.php?p=killied01', 'https://www.baseball-almanac.com/players/player.php?p=mullige01', 'https://www.baseball-almanac.com/players/player.php?p=summeed01', 'https://www.baseball-almanac.com/players/player.php?p=wintege01']","['https://www.baseball-almanac.com/players/player.php?p=brownmo01', 'https://www.baseball-almanac.com/players/player.php?p=overaor01', 'https://www.baseball-almanac.com/players/player.php?p=pfiesja01', 'https://www.baseball-almanac.com/players/player.php?p=reulbed01']","[{'pitcher_name': 'Bill Donovan', 'link': 'https://www.baseball-almanac.com/players/player.php?p=donovbi01'}, {'pitcher_name': 'Ed Killian', 'link': 'https://www.baseball-almanac.com/players/player.php?p=killied01'}, {'pitcher_name': 'George Mullin', 'link': 'https://www.baseball-almanac.com/players/player.php?p=mullige01'}, {'pitcher_name': 'Ed Summers', 'link': 'https://www.baseball-almanac.com/players/player.php?p=summeed01'}, {'pitcher_name': 'George Winter', 'link': 'https://www.baseball-almanac.com/players/player.php?p=wintege01'}]","[{'pitcher_name': 'Mordecai Brown', 'link': 'https://www.baseball-almanac.com/players/player.php?p=brownmo01'}, {'pitcher_name': 'Orval Overall', 'link': 'https://www.baseball-almanac.com/players/player.php?p=overaor01'}, {'pitcher_name': 'Jack Pfiester', 'link': 'https://www.baseball-almanac.com/players/player.php?p=pfiesja01'}, {'pitcher_name': 'Ed Reulbach', 'link': 'https://www.baseball-almanac.com/players/player.php?p=reulbed01'}]"
1909,Pittsburgh Pirates,4,Detroit Tigers,3,https://www.baseball-almanac.com/ws/yr1909ws.shtml,"['Bill Donovan', 'George Mullin', 'Ed Summers', 'Ed Willett', 'Ralph Works']","['Babe Adams', 'Howie Camnitz', 'Lefty Leifield', 'Nick Maddox', 'Deacon Phillippe', 'Vic Willis']","['https://www.baseball-almanac.com/players/player.php?p=donovbi01', 'https://www.baseball-almanac.com/players/player.php?p=mullige01', 'https://www.baseball-almanac.com/players/player.php?p=summeed01', 'https://www.baseball-almanac.com/players/player.php?p=willeed01', 'https://www.baseball-almanac.com/players/player.php?p=worksra01']","['https://www.baseball-almanac.com/players/player.php?p=adamsba01', 'https://www.baseball-almanac.com/players/player.php?p=camniho01', 'https://www.baseball-almanac.com/players/player.php?p=leifile01', 'https://www.baseball-almanac.com/players/player.php?p=maddoni01', 'https://www.baseball-almanac.com/players/player.php?p=phillde01', 'https://www.baseball-almanac.com/players/player.php?p=willivi01']","[{'pitcher_name': 'Bill Donovan', 'link': 'https://www.baseball-almanac.com/players/player.php?p=donovbi01'}, {'pitcher_name': 'George Mullin', 'link': 'https://www.baseball-almanac.com/players/player.php?p=mullige01'}, {'pitcher_name': 'Ed Summers', 'link': 'https://www.baseball-almanac.com/players/player.php?p=summeed01'}, {'pitcher_name': 'Ed Willett', 'link': 'https://www.baseball-almanac.com/players/player.php?p=willeed01'}, {'pitcher_name': 'Ralph Works', 'link': 'https://www.baseball-almanac.com/players/player.php?p=worksra01'}]","[{'pitcher_name': 'Babe Adams', 'link': 'https://www.baseball-almanac.com/players/player.php?p=adamsba01'}, {'pitcher_name': 'Howie Camnitz', 'link': 'https://www.baseball-almanac.com/players/player.php?p=camniho01'}, {'pitcher_name': 'Lefty Leifield', 'link': 'https://www.baseball-almanac.com/players/player.php?p=leifile01'}, {'pitcher_name': 'Nick Maddox', 'link': 'https://www.baseball-almanac.com/players/player.php?p=maddoni01'}, {'pitcher_name': 'Deacon Phillippe', 'link': 'https://www.baseball-almanac.com/players/player.php?p=phillde01'}, {'pitcher_name': 'Vic Willis', 'link': 'https://www.baseball-almanac.com/players/player.php?p=willivi01'}]"
1910,Chicago Cubs,1,Philadelphia Athletics,4,https://www.baseball-almanac.com/ws/yr1910ws.shtml,"['Chief Bender', 'Jack Coombs']","['Mordecai Brown', 'King Cole', 'Harry Mcintire', 'Orval Overall', 'Jack Pfiester', 'Ed Reulbach', 'Lew Richie']","['https://www.baseball-almanac.com/players/player.php?p=bendech01', 'https://www.baseball-almanac.com/players/player.php?p=coombja01']","['https://www.baseball-almanac.com/players/player.php?p=brownmo01', 'https://www.baseball-almanac.com/players/player.php?p=coleki01', 'https://www.baseball-almanac.com/players/player.php?p=mcintha01', 'https://www.baseball-almanac.com/players/player.php?p=overaor01', 'https://www.baseball-almanac.com/players/player.php?p=pfiesja01', 'https://www.baseball-almanac.com/players/player.php?p=reulbed01', 'https://www.baseball-almanac.com/players/player.php?p=richile01']","[{'pitcher_name': 'Chief Bender', 'link': 'https://www.baseball-almanac.com/players/player.php?p=bendech01'}, {'pitcher_name': 'Jack Coombs', 'link': 'https://www.baseball-almanac.com/players/player.php?p=coombja01'}]","[{'pitcher_name': 'Mordecai Brown', 'link': 'https://www.baseball-almanac.com/players/player.php?p=brownmo01'}, {'pitcher_name': 'King Cole', 'link': 'https://www.baseball-almanac.com/players/player.php?p=coleki01'}, {'pitcher_name': 'Harry Mcintire', 'link': 'https://www.baseball-almanac.com/players/player.php?p=mcintha01'}, {'pitcher_name': 'Orval Overall', 'link': 'https://www.baseball-almanac.com/players/player.php?p=overaor01'}, {'pitcher_name': 'Jack Pfiester', 'link': 'https://www.baseball-almanac.com/players/player.php?p=pfiesja01'}, {'pitcher_name': 'Ed Reulbach', 'link': 'https://www.baseball-almanac.com/players/player.php?p=reulbed01'}, {'pitcher_name': 'Lew Richie', 'link': 'https://www.baseball-almanac.com/players/player.php?p=richile01'}]"
1911,New York Giants,2,Philadelphia Athletics,4,https://www.baseball-almanac.com/ws/yr1911ws.shtml,"['Chief Bender', 'Jack Coombs', 'Eddie Plank']","['Red Ames', 'Doc Crandall', 'Rube Marquard', 'Christy Mathewson', 'Hooks Wiltse']","['https://www.baseball-almanac.com/players/player.php?p=bendech01', 'https://www.baseball-almanac.com/players/player.php?p=coombja01', 'https://www.baseball-almanac.com/players/player.php?p=planked01']","['https://www.baseball-almanac.com/players/player.php?p=amesre01', 'https://www.baseball-almanac.com/players/player.php?p=cranddo01', 'https://www.baseball-almanac.com/players/player.php?p=marquru01', 'https://www.baseball-almanac.com/players/player.php?p=mathech01', 'https://www.baseball-almanac.com/players/player.php?p=wiltsho01']","[{'pitcher_name': 'Chief Bender', 'link': 'https://www.baseball-almanac.com/players/player.php?p=bendech01'}, {'pitcher_name': 'Jack Coombs', 'link': 'https://www.baseball-almanac.com/players/player.php?p=coombja01'}, {'pitcher_name': 'Eddie Plank', 'link': 'https://www.baseball-almanac.com/players/player.php?p=planked01'}]","[{'pitcher_name': 'Red Ames', 'link': 'https://www.baseball-almanac.com/players/player.php?p=amesre01'}, {'pitcher_name': 'Doc Crandall', 'link': 'https://www.baseball-almanac.com/players/player.php?p=cranddo01'}, {'pitcher_name': 'Rube Marquard', 'link': 'https://www.baseball-almanac.com/players/player.php?p=marquru01'}, {'pitcher_name': 'Christy Mathewson', 'link': 'https://www.baseball-almanac.com/players/player.php?p=mathech01'}, {'pitcher_name': 'Hooks Wiltse', 'link': 'https://www.baseball-almanac.com/players/player.php?p=wiltsho01'}]"
1912,New York Giants,3,Boston Red Sox,4,https://www.baseball-almanac.com/ws/yr1912ws.shtml,"['Hugh Bedient', 'Ray Collins', 'Charley Hall', 'Buck Obrien', 'Joe Wood']","['Red Ames', 'Doc Crandall', 'Rube Marquard', 'Christy Mathewson', 'Jeff Tesreau']","['https://www.baseball-almanac.com/players/player.php?p=bediehu01', 'https://www.baseball-almanac.com/players/player.php?p=collira01', 'https://www.baseball-almanac.com/players/player.php?p=hallch02', 'https://www.baseball-almanac.com/players/player.php?p=obribu01', 'https://www.baseball-almanac.com/players/player.php?p=woodjo02']","['https://www.baseball-almanac.com/players/player.php?p=amesre01', 'https://www.baseball-almanac.com/players/player.php?p=cranddo01', 'https://www.baseball-almanac.com/players/player.php?p=marquru01', 'https://www.baseball-almanac.com/players/player.php?p=mathech01', 'https://www.baseball-almanac.com/players/player.php?p=tesreje01']","[{'pitcher_name': 'Hugh Bedient', 'link': 'https://www.baseball-almanac.com/players/player.php?p=bediehu01'}, {'pitcher_name': 'Ray Collins', 'link': 'https://www.baseball-almanac.com/players/player.php?p=collira01'}, {'pitcher_name': 'Charley Hall', 'link': 'https://www.baseball-almanac.com/players/player.php?p=hallch02'}, {'pitcher_name': 'Buck Obrien', 'link': 'https://www.baseball-almanac.com/players/player.php?p=obribu01'}, {'pitcher_name': 'Joe Wood', 'link': 'https://www.baseball-almanac.com/players/player.php?p=woodjo02'}]","[{'pitcher_name': 'Red Ames', 'link': 'https://www.baseball-almanac.com/players/player.php?p=amesre01'}, {'pitcher_name': 'Doc Crandall', 'link': 'https://www.baseball-almanac.com/players/player.php?p=cranddo01'}, {'pitcher_name': 'Rube Marquard', 'link': 'https://www.baseball-almanac.com/players/player.php?p=marquru01'}, {'pitcher_name': 'Christy Mathewson', 'link': 'https://www.baseball-almanac.com/players/player.php?p=mathech01'}, {'pitcher_name': 'Jeff Tesreau', 'link': 'https://www.baseball-almanac.com/players/player.php?p=tesreje01'}]"
1913,New York Giants,1,Philadelphia Athletics,4,https://www.baseball-almanac.com/ws/yr1913ws.shtml,"['Chief Bender', 'Joe Bush', 'Eddie Plank']","['Doc Crandall', 'Al Demaree', 'Rube Marquard', 'Christy Mathewson', 'Jeff Tesreau']","['https://www.baseball-almanac.com/players/player.php?p=bendech01', 'https://www.baseball-almanac.com/players/player.php?p=bushjo01', 'https://www.baseball-almanac.com/players/player.php?p=planked01']","['https://www.baseball-almanac.com/players/player.php?p=cranddo01', 'https://www.baseball-almanac.com/players/player.php?p=demaral01', 'https://www.baseball-almanac.com/players/player.php?p=marquru01', 'https://www.baseball-almanac.com/players/player.php?p=mathech01', 'https://www.baseball-almanac.com/players/player.php?p=tesreje01']","[{'pitcher_name': 'Chief Bender', 'link': 'https://www.baseball-almanac.com/players/player.php?p=bendech01'}, {'pitcher_name': 'Joe Bush', 'link': 'https://www.baseball-almanac.com/players/player.php?p=bushjo01'}, {'pitcher_name': 'Eddie Plank', 'link': 'https://www.baseball-almanac.com/players/player.php?p=planked01'}]","[{'pitcher_name': 'Doc Crandall', 'link': 'https://www.baseball-almanac.com/players/player.php?p=cranddo01'}, {'pitcher_name': 'Al Demaree', 'link': 'https://www.baseball-almanac.com/players/player.php?p=demaral01'}, {'pitcher_name': 'Rube Marquard', 'link': 'https://www.baseball-almanac.com/players/player.php?p=marquru01'}, {'pitcher_name': 'Christy Mathewson', 'link': 'https://www.baseball-almanac.com/players/player.php?p=mathech01'}, {'pitcher_name': 'Jeff Tesreau', 'link': 'https://www.baseball-almanac.com/players/player.php?p=tesreje01'}]"
