World Series,Team 1,Team 1 Pitchers,Team 1 Pitchers Links,Team 1 wins,Team 2,Team 2 Pitchers,Team 2 Pitchers Links,Team 2 wins,Links
1903 World Series,Boston Americans 1903 World Series Composite Pitching Statistics,"['Bill Dinneen', 'Tom Hughes', 'Cy Young']","[['https://www.baseball-almanac.com/players/player.php?p=dinnebi01'], ['https://www.baseball-almanac.com/players/player.php?p=hugheto01'], ['https://www.baseball-almanac.com/players/player.php?p=youngcy01']]",5,Pittsburgh Pirates 1903 World Series Composite Pitching Statistics,"['Brickyard Kennedy', 'Sam Leever', 'Deacon Phillippe', 'Gus Thompson', 'Bucky Veil']","[['https://www.baseball-almanac.com/players/player.php?p=kennebr01'], ['https://www.baseball-almanac.com/players/player.php?p=leevesa01'], ['https://www.baseball-almanac.com/players/player.php?p=phillde01'], ['https://www.baseball-almanac.com/players/player.php?p=thompgu01'], ['https://www.baseball-almanac.com/players/player.php?p=veilbu01']]",3,https://www.baseball-almanac.com/ws/yr1903ws.shtml
1905 World Series,Composite Pitching Statistics,['Red Ames\nChristy Mathewson\nJoe McGinnity'],"[['https://www.baseball-almanac.com/players/player.php?p=amesre01', 'https://www.baseball-almanac.com/players/player.php?p=mathech01', 'https://www.baseball-almanac.com/players/player.php?p=mcginjo01']]",4,Composite Pitching Statistics,['Chief Bender\nAndy Coakley\nEddie Plank'],"[['https://www.baseball-almanac.com/players/player.php?p=bendech01', 'https://www.baseball-almanac.com/players/player.php?p=coaklan01', 'https://www.baseball-almanac.com/players/player.php?p=planked01']]",1,https://www.baseball-almanac.com/ws/yr1905ws.shtml
1906 World Series,Chicago White Sox 1906 World Series Composite Pitching Statistics,['Nick Altrock\nFrank Owen\nEd Walsh\nDoc White'],"[['https://www.baseball-almanac.com/players/player.php?p=altroni01', 'https://www.baseball-almanac.com/players/player.php?p=owenfr01', 'https://www.baseball-almanac.com/players/player.php?p=walshed01', 'https://www.baseball-almanac.com/players/player.php?p=whitedo01']]",4,Chicago Cubs 1906 World Series Composite Hitting Statistics,['Mordecai Brown\nOrval Overall\nJack Pfiester\nEd Reulbach'],"[['https://www.baseball-almanac.com/players/player.php?p=brownmo01', 'https://www.baseball-almanac.com/players/player.php?p=overaor01', 'https://www.baseball-almanac.com/players/player.php?p=pfiesja01', 'https://www.baseball-almanac.com/players/player.php?p=reulbed01']]",2,https://www.baseball-almanac.com/ws/yr1906ws.shtml
1907 World Series,Chicago Cubs 1907 World Series Composite Pitching Statistics,['Mordecai Brown\nOrval Overall\nJack Pfiester\nEd Reulbach'],"[['https://www.baseball-almanac.com/players/player.php?p=brownmo01', 'https://www.baseball-almanac.com/players/player.php?p=overaor01', 'https://www.baseball-almanac.com/players/player.php?p=pfiesja01', 'https://www.baseball-almanac.com/players/player.php?p=reulbed01']]",4,Detroit Tigers 1907 World Series Composite Pitching Statistics,['Bill Donovan\nEd Killian\nGeorge Mullin\nEd Siever'],"[['https://www.baseball-almanac.com/players/player.php?p=donovbi01', 'https://www.baseball-almanac.com/players/player.php?p=killied01', 'https://www.baseball-almanac.com/players/player.php?p=mullige01', 'https://www.baseball-almanac.com/players/player.php?p=sieveed01']]",0,https://www.baseball-almanac.com/ws/yr1907ws.shtml
1908 World Series,Chicago Cubs 1908 World Series Composite Pitching Statistics,['Mordecai Brown\nOrval Overall\nJack Pfiester\nEd Reulbach'],"[['https://www.baseball-almanac.com/players/player.php?p=brownmo01', 'https://www.baseball-almanac.com/players/player.php?p=overaor01', 'https://www.baseball-almanac.com/players/player.php?p=pfiesja01', 'https://www.baseball-almanac.com/players/player.php?p=reulbed01']]",4,Detroit Tigers 1908 World Series Composite Pitching Statistics,['Bill Donovan\nEd Killian\nGeorge Mullin\nEd Summers\nGeorge Winter'],"[['https://www.baseball-almanac.com/players/player.php?p=donovbi01', 'https://www.baseball-almanac.com/players/player.php?p=killied01', 'https://www.baseball-almanac.com/players/player.php?p=mullige01', 'https://www.baseball-almanac.com/players/player.php?p=summeed01', 'https://www.baseball-almanac.com/players/player.php?p=wintege01']]",1,https://www.baseball-almanac.com/ws/yr1908ws.shtml
1909 World Series,Composite Pitching Statistics,['Babe Adams\nHowie Camnitz\nLefty Leifield\nNick Maddox\nDeacon Phillippe\nVic Willis'],"[['https://www.baseball-almanac.com/players/player.php?p=adamsba01', 'https://www.baseball-almanac.com/players/player.php?p=camniho01', 'https://www.baseball-almanac.com/players/player.php?p=leifile01', 'https://www.baseball-almanac.com/players/player.php?p=maddoni01', 'https://www.baseball-almanac.com/players/player.php?p=phillde01', 'https://www.baseball-almanac.com/players/player.php?p=willivi01']]",4,Composite Pitching Statistics,['Bill Donovan\nGeorge Mullin\nEd Summers\nEd Willett\nRalph Works'],"[['https://www.baseball-almanac.com/players/player.php?p=donovbi01', 'https://www.baseball-almanac.com/players/player.php?p=mullige01', 'https://www.baseball-almanac.com/players/player.php?p=summeed01', 'https://www.baseball-almanac.com/players/player.php?p=willeed01', 'https://www.baseball-almanac.com/players/player.php?p=worksra01']]",3,https://www.baseball-almanac.com/ws/yr1909ws.shtml
1910 World Series,Philadelphia Athletics 1910 World Series Composite Pitching Statistics,['Chief Bender\nJack Coombs'],"[['https://www.baseball-almanac.com/players/player.php?p=bendech01', 'https://www.baseball-almanac.com/players/player.php?p=coombja01']]",4,Chicago Cubs 1910 World Series Composite Pitching Statistics,['Mordecai Brown\nKing Cole\nHarry McIntire\nOrval Overall\nJack Pfiester\nEd Reulbach\nLew Richie'],"[['https://www.baseball-almanac.com/players/player.php?p=brownmo01', 'https://www.baseball-almanac.com/players/player.php?p=coleki01', 'https://www.baseball-almanac.com/players/player.php?p=mcintha01', 'https://www.baseball-almanac.com/players/player.php?p=overaor01', 'https://www.baseball-almanac.com/players/player.php?p=pfiesja01', 'https://www.baseball-almanac.com/players/player.php?p=reulbed01', 'https://www.baseball-almanac.com/players/player.php?p=richile01']]",1,https://www.baseball-almanac.com/ws/yr1910ws.shtml
1911 World Series,Composite Pitching Statistics,['Chief Bender\nJack Coombs\nEddie Plank'],"[['https://www.baseball-almanac.com/players/player.php?p=bendech01', 'https://www.baseball-almanac.com/players/player.php?p=coombja01', 'https://www.baseball-almanac.com/players/player.php?p=planked01']]",4,Composite Pitching Statistics,['Red Ames\nDoc Crandall\nRube Marquard\nChristy Mathewson\nHooks Wiltse'],"[['https://www.baseball-almanac.com/players/player.php?p=amesre01', 'https://www.baseball-almanac.com/players/player.php?p=cranddo01', 'https://www.baseball-almanac.com/players/player.php?p=marquru01', 'https://www.baseball-almanac.com/players/player.php?p=mathech01', 'https://www.baseball-almanac.com/players/player.php?p=wiltsho01']]",2,https://www.baseball-almanac.com/ws/yr1911ws.shtml
1912 World Series,Boston Red Sox 1912 World Series Composite Pitching Statistics,"[""Hugh Bedient\nRay Collins\nCharley Hall\nBuck O'Brien\nJoe Wood""]","[['https://www.baseball-almanac.com/players/player.php?p=bediehu01', 'https://www.baseball-almanac.com/players/player.php?p=collira01', 'https://www.baseball-almanac.com/players/player.php?p=hallch02', 'https://www.baseball-almanac.com/players/player.php?p=obribu01', 'https://www.baseball-almanac.com/players/player.php?p=woodjo02']]",4,New York Giants 1912 World Series Composite Pitching Statistics,['Red Ames\nDoc Crandall\nRube Marquard\nChristy Mathewson\nJeff Tesreau'],"[['https://www.baseball-almanac.com/players/player.php?p=amesre01', 'https://www.baseball-almanac.com/players/player.php?p=cranddo01', 'https://www.baseball-almanac.com/players/player.php?p=marquru01', 'https://www.baseball-almanac.com/players/player.php?p=mathech01', 'https://www.baseball-almanac.com/players/player.php?p=tesreje01']]",3,https://www.baseball-almanac.com/ws/yr1912ws.shtml
1913 World Series,Philadelphia Athletics 1913 World Series Composite Pitching Statistics,['Chief Bender\nJoe Bush\nEddie Plank'],"[['https://www.baseball-almanac.com/players/player.php?p=bendech01', 'https://www.baseball-almanac.com/players/player.php?p=bushjo01', 'https://www.baseball-almanac.com/players/player.php?p=planked01']]",4,New York Giants 1913 World Series Composite Pitching Statistics,['Doc Crandall\nAl Demaree\nRube Marquard\nChristy Mathewson\nJeff Tesreau'],"[['https://www.baseball-almanac.com/players/player.php?p=cranddo01', 'https://www.baseball-almanac.com/players/player.php?p=demaral01', 'https://www.baseball-almanac.com/players/player.php?p=marquru01', 'https://www.baseball-almanac.com/players/player.php?p=mathech01', 'https://www.baseball-almanac.com/players/player.php?p=tesreje01']]",1,https://www.baseball-almanac.com/ws/yr1913ws.shtml
