Full name,Born in,Born-on,College,Links
Bill Dinneen,"  Syracuse, New York",  04-05-1876  (Aries),  None Attended,https://www.baseball-almanac.com/players/player.php?p=dinnebi01
Tom Hughes,"  Chicago, Illinois",  11-29-1878  (Sagittarius),  None Attended,https://www.baseball-almanac.com/players/player.php?p=hugheto01
Cy Young,"  Gilmore, Ohio",  03-29-1867  (Aries),  None Attended,https://www.baseball-almanac.com/players/player.php?p=youngcy01
Brickyard Kennedy,"  Bellaire, Ohio",  10-07-1867  (Libra),  None Attended,https://www.baseball-almanac.com/players/player.php?p=kennebr01
Sam Leever,"  Goshen, Ohio",  12-23-1871  (Capricorn),  None Attended,https://www.baseball-almanac.com/players/player.php?p=leevesa01
Deacon Phillippe,"  Rural Retreat, Virginia",  05-23-1872  (Gemini),  None Attended,https://www.baseball-almanac.com/players/player.php?p=phillde01
Gus Thompson,"  Humboldt, Iowa",  06-22-1877  (Cancer),  None Attended,https://www.baseball-almanac.com/players/player.php?p=thompgu01
Bucky Veil,"  Tyrone, Pennsylvania",  08-02-1881  (Leo),  Bucknell University,https://www.baseball-almanac.com/players/player.php?p=veilbu01
Red Ames,"  Warren, Ohio",  08-02-1882  (Leo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=amesre01
Christy Mathewson,"  Factoryville, Pennsylvania",  08-12-1880  (Leo),  Bucknell University,https://www.baseball-almanac.com/players/player.php?p=mathech01
Joe McGinnity,"  Cornwall, Illinois",  03-20-1871  (Pisces),  None Attended,https://www.baseball-almanac.com/players/player.php?p=mcginjo01
Chief Bender,"  Crow Wing County, Minnesota",  05-05-1884  (Taurus),  None Attended,https://www.baseball-almanac.com/players/player.php?p=bendech01
Andy Coakley,"  Providence, Rhode Island",  11-20-1882  (Scorpio),  College of the Holy Cross,https://www.baseball-almanac.com/players/player.php?p=coaklan01
Eddie Plank,"  Gettysburg, Pennsylvania",  08-31-1875  (Virgo),  Pennsylvania College,https://www.baseball-almanac.com/players/player.php?p=planked01
Nick Altrock,"  Cincinnati, Ohio",  09-15-1876  (Virgo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=altroni01
Frank Owen,"  Ypsilanti, Michigan",  12-23-1879  (Capricorn),  None Attended,https://www.baseball-almanac.com/players/player.php?p=owenfr01
Ed Walsh,"  Plains, Pennsylvania",  05-19-1881  (Taurus),  St. John's College,https://www.baseball-almanac.com/players/player.php?p=walshed01
Doc White,"  Washington, D.C.",  04-09-1879  (Aries),  Georgetown University,https://www.baseball-almanac.com/players/player.php?p=whitedo01
Mordecai Brown,"  Nyesville, Indiana",  10-19-1876  (Libra),  None Attended,https://www.baseball-almanac.com/players/player.php?p=brownmo01
Orval Overall,"  Farmersville, California",  02-02-1881  (Aquarius),"  University of California, Berkeley",https://www.baseball-almanac.com/players/player.php?p=overaor01
Jack Pfiester,"  Cincinnati, Ohio",  05-24-1878  (Gemini),  None Attended,https://www.baseball-almanac.com/players/player.php?p=pfiesja01
Ed Reulbach,"  Detroit, Michigan",  12-01-1882  (Sagittarius),  University of Notre Dame,https://www.baseball-almanac.com/players/player.php?p=reulbed01
Bill Donovan,"  Lawrence, Massachusetts",  10-13-1876  (Libra),  None Attended,https://www.baseball-almanac.com/players/player.php?p=donovbi01
Ed Killian,"  Racine, Wisconsin",  11-12-1876  (Scorpio),  None Attended,https://www.baseball-almanac.com/players/player.php?p=killied01
George Mullin,"  Toledo, Ohio",  07-04-1880  (Cancer),  None Attended,https://www.baseball-almanac.com/players/player.php?p=mullige01
Ed Siever,"  Goddard, Kansas",  04-02-1875  (Aries),  None Attended,https://www.baseball-almanac.com/players/player.php?p=sieveed01
Ed Summers,"  Ladoga, Indiana",  12-05-1884  (Sagittarius),  None Attended,https://www.baseball-almanac.com/players/player.php?p=summeed01
George Winter,"  New Providence, Pennsylvania",  04-27-1878  (Taurus),  Pennsylvania College,https://www.baseball-almanac.com/players/player.php?p=wintege01
Babe Adams,"  Tipton, Indiana",  05-18-1882  (Taurus),  None Attended,https://www.baseball-almanac.com/players/player.php?p=adamsba01
Howie Camnitz,"  Covington, Kentucky",  08-22-1881  (Leo),  Centre College,https://www.baseball-almanac.com/players/player.php?p=camniho01
Lefty Leifield,"  Trenton, Illinois",  09-05-1883  (Virgo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=leifile01
Nick Maddox,"  Govanstown, Maryland",  11-09-1886  (Scorpio),  None Attended,https://www.baseball-almanac.com/players/player.php?p=maddoni01
Vic Willis,"  Cecil County, Maryland",  04-12-1876  (Aries),  University of Delaware,https://www.baseball-almanac.com/players/player.php?p=willivi01
Ed Willett,"  Norfolk, Virginia",  03-07-1884  (Pisces),  None Attended,https://www.baseball-almanac.com/players/player.php?p=willeed01
Ralph Works,"  Payson, Illinois",  03-16-1888  (Pisces),  None Attended,https://www.baseball-almanac.com/players/player.php?p=worksra01
Jack Coombs,"  Le Grand, Iowa",  11-18-1882  (Scorpio),  Colby College,https://www.baseball-almanac.com/players/player.php?p=coombja01
King Cole,"  Toledo, Iowa",  04-15-1886  (Aries),  None Attended,https://www.baseball-almanac.com/players/player.php?p=coleki01
Harry McIntire,"  Dayton, Ohio",  01-11-1879  (Capricorn),  None Attended,https://www.baseball-almanac.com/players/player.php?p=mcintha01
Lew Richie,"  Ambler, Pennsylvania",  08-23-1883  (Virgo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=richile01
Doc Crandall,"  Wadena, Indiana",  10-08-1887  (Libra),  None Attended,https://www.baseball-almanac.com/players/player.php?p=cranddo01
Rube Marquard,"  Cleveland, Ohio",  10-09-1886  (Libra),  None Attended,https://www.baseball-almanac.com/players/player.php?p=marquru01
Hooks Wiltse,"  Hamilton, New York",  09-07-1879  (Virgo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=wiltsho01
Hugh Bedient,"  Gerry, New York",  10-23-1889  (Libra),  None Attended,https://www.baseball-almanac.com/players/player.php?p=bediehu01
Ray Collins,"  Colchester, Vermont",  02-11-1887  (Aquarius),  University of Vermont,https://www.baseball-almanac.com/players/player.php?p=collira01
Charley Hall,"  Ventura, California",  07-27-1884  (Leo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=hallch02
Buck O'Brien,"  Brockton, Massachusetts",  05-09-1882  (Taurus),  None Attended,https://www.baseball-almanac.com/players/player.php?p=obribu01
Joe Wood,"  Kansas City, Missouri",  10-25-1889  (Scorpio),  None Attended,https://www.baseball-almanac.com/players/player.php?p=woodjo02
Jeff Tesreau,"  Ironton, Missouri",  03-05-1888  (Pisces),  None Attended,https://www.baseball-almanac.com/players/player.php?p=tesreje01
Bullet Joe Bush,"  Gull River, Minnesota",  11-27-1892  (Sagittarius),  None Attended,https://www.baseball-almanac.com/players/player.php?p=bushjo01
Al Demaree,"  Quincy, Illinois",  09-08-1884  (Virgo),  None Attended,https://www.baseball-almanac.com/players/player.php?p=demaral01
Bill James,"  Iowa Hill, California",  03-12-1892  (Pisces),  Saint Mary's College of California (DNP),https://www.baseball-almanac.com/players/player.php?p=jamesbi02
Dick Rudolph,"  New York, New York",  08-25-1887  (Virgo),  Fordham University,https://www.baseball-almanac.com/players/player.php?p=rudoldi01
Lefty Tyler,"  Derry, New Hampshire",  12-14-1889  (Sagittarius),  None Attended,https://www.baseball-almanac.com/players/player.php?p=tylerle01
Herb Pennock,"  Kennett Square, Pennsylvania",  02-10-1894  (Aquarius),  None Attended,https://www.baseball-almanac.com/players/player.php?p=pennohe01
Bob Shawkey,"  Sigel, Pennsylvania",  12-04-1890  (Sagittarius),  Slippery Rock University,https://www.baseball-almanac.com/players/player.php?p=shawkbo01
Weldon Wyckoff,"  Williamsport, Pennsylvania",  02-19-1891  (Aquarius),  Bucknell University,https://www.baseball-almanac.com/players/player.php?p=wyckowe01
Rube Foster,"  Lehigh, Oklahoma",  01-05-1888  (Capricorn),  None Attended,https://www.baseball-almanac.com/players/player.php?p=fosteru01
Dutch Leonard,"  Birmingham, Ohio",  04-16-1892  (Aries),  Saint Mary's College of California,https://www.baseball-almanac.com/players/player.php?p=leonadu01
Ernie Shore,"  East Bend, North Carolina",  03-24-1891  (Aries),  Guilford College,https://www.baseball-almanac.com/players/player.php?p=shoreer01
Grover Alexander,"  Elba, Nebraska",  02-26-1887  (Pisces),  None Attended,https://www.baseball-almanac.com/players/player.php?p=alexape01
George Chalmers,"  Aberdeen, Scotland",  06-07-1888  (Gemini),  Manhattan College,https://www.baseball-almanac.com/players/player.php?p=chalmge01
Erskine Mayer,"  Atlanta, Georgia",  01-16-1890  (Capricorn),  Georgia School of Technology,https://www.baseball-almanac.com/players/player.php?p=mayerer01
Eppa Rixey,"  Culpeper, Virginia",  05-03-1891  (Taurus),  University of Virginia,https://www.baseball-almanac.com/players/player.php?p=rixeyep01
Carl Mays,"  Liberty, Kentucky",  11-12-1891  (Scorpio),  None Attended,https://www.baseball-almanac.com/players/player.php?p=maysca01
Babe Ruth,"  Baltimore, Maryland",  02-06-1895  (Aquarius),  None Attended,https://www.baseball-almanac.com/players/player.php?p=ruthba01
Larry Cheney,"  Belleville, Kansas",  05-02-1886  (Taurus),  None Attended,https://www.baseball-almanac.com/players/player.php?p=chenela01
Wheezer Dell,"  Tuscarora, Nevada",  06-11-1886  (Gemini),  None Attended,https://www.baseball-almanac.com/players/player.php?p=dellwh01
Jeff Pfeffer,"  Seymour, Illinois",  03-04-1888  (Pisces),  None Attended,https://www.baseball-almanac.com/players/player.php?p=pfeffje01
