World Series,National League,NL Wins,American League,AL Wins,Links
1903 World Series,Pittsburgh Pirates,3,Boston Americans,5,https://www.baseball-almanac.com/ws/yr1903ws.shtml
1904 World Series,No Series (See Fact #1),x,No Series (See Fact #1),x,
1905 World Series,New York Giants,4,Philadelphia Athletics,1,https://www.baseball-almanac.com/ws/yr1905ws.shtml
1906 World Series,Chicago Cubs,2,Chicago White Sox,4,https://www.baseball-almanac.com/ws/yr1906ws.shtml
1907 World Series,Chicago Cubs,4,Detroit Tigers,0,https://www.baseball-almanac.com/ws/yr1907ws.shtml
1908 World Series,Chicago Cubs,4,Detroit Tigers,1,https://www.baseball-almanac.com/ws/yr1908ws.shtml
1909 World Series,Pittsburgh Pirates,4,Detroit Tigers,3,https://www.baseball-almanac.com/ws/yr1909ws.shtml
1910 World Series,Chicago Cubs,1,Philadelphia Athletics,4,https://www.baseball-almanac.com/ws/yr1910ws.shtml
1911 World Series,New York Giants,2,Philadelphia Athletics,4,https://www.baseball-almanac.com/ws/yr1911ws.shtml
1912 World Series,New York Giants,3,Boston Red Sox,4,https://www.baseball-almanac.com/ws/yr1912ws.shtml
1913 World Series,New York Giants,1,Philadelphia Athletics,4,https://www.baseball-almanac.com/ws/yr1913ws.shtml
1914 World Series,Boston Braves,4,Philadelphia Athletics,0,https://www.baseball-almanac.com/ws/yr1914ws.shtml
1915 World Series,Philadelphia Phillies,1,Boston Red Sox,4,https://www.baseball-almanac.com/ws/yr1915ws.shtml
1916 World Series,Brooklyn Robins,1,Boston Red Sox,4,https://www.baseball-almanac.com/ws/yr1916ws.shtml
1917 World Series,New York Giants,2,Chicago White Sox,4,https://www.baseball-almanac.com/ws/yr1917ws.shtml
1918 World Series,Chicago Cubs,2,Boston Red Sox,4,https://www.baseball-almanac.com/ws/yr1918ws.shtml
1919 World Series,Cincinnati Reds,5,Chicago White Sox,3,https://www.baseball-almanac.com/ws/yr1919ws.shtml
1920 World Series,Brooklyn Robins,2,Cleveland Indians,5,https://www.baseball-almanac.com/ws/yr1920ws.shtml
1921 World Series,New York Giants,5,New York Yankees,3,https://www.baseball-almanac.com/ws/yr1921ws.shtml
1922 World Series,New York Giants,4,New York Yankees,0,https://www.baseball-almanac.com/ws/yr1922ws.shtml
1923 World Series,New York Giants,2,New York Yankees,4,https://www.baseball-almanac.com/ws/yr1923ws.shtml
1924 World Series,New York Giants,3,Washington Senators,4,https://www.baseball-almanac.com/ws/yr1924ws.shtml
1925 World Series,Pittsburgh Pirates,4,Washington Senators,3,https://www.baseball-almanac.com/ws/yr1925ws.shtml
1926 World Series,St. Louis Cardinals,4,New York Yankees,3,https://www.baseball-almanac.com/ws/yr1926ws.shtml
1927 World Series,Pittsburgh Pirates,0,New York Yankees,4,https://www.baseball-almanac.com/ws/yr1927ws.shtml
1928 World Series,St. Louis Cardinals,0,New York Yankees,4,https://www.baseball-almanac.com/ws/yr1928ws.shtml
1929 World Series,Chicago Cubs,1,Philadelphia Athletics,4,https://www.baseball-almanac.com/ws/yr1929ws.shtml
1930 World Series,St. Louis Cardinals,2,Philadelphia Athletics,4,https://www.baseball-almanac.com/ws/yr1930ws.shtml
1931 World Series,St. Louis Cardinals,4,Philadelphia Athletics,3,https://www.baseball-almanac.com/ws/yr1931ws.shtml
1932 World Series,Chicago Cubs,0,New York Yankees,4,https://www.baseball-almanac.com/ws/yr1932ws.shtml
1933 World Series,New York Giants,4,Washington Senators,1,https://www.baseball-almanac.com/ws/yr1933ws.shtml
1934 World Series,St. Louis Cardinals,4,Detroit Tigers,3,https://www.baseball-almanac.com/ws/yr1934ws.shtml
1935 World Series,Chicago Cubs,2,Detroit Tigers,4,https://www.baseball-almanac.com/ws/yr1935ws.shtml
1936 World Series,New York Giants,2,New York Yankees,4,https://www.baseball-almanac.com/ws/yr1936ws.shtml
1937 World Series,New York Giants,1,New York Yankees,4,https://www.baseball-almanac.com/ws/yr1937ws.shtml
1938 World Series,Chicago Cubs,0,New York Yankees,4,https://www.baseball-almanac.com/ws/yr1938ws.shtml
1939 World Series,Cincinnati Reds,0,New York Yankees,4,https://www.baseball-almanac.com/ws/yr1939ws.shtml
1940 World Series,Cincinnati Reds,4,Detroit Tigers,3,https://www.baseball-almanac.com/ws/yr1940ws.shtml
1941 World Series,Brooklyn Dodgers,1,New York Yankees,4,https://www.baseball-almanac.com/ws/yr1941ws.shtml
1942 World Series,St. Louis Cardinals,4,New York Yankees,1,https://www.baseball-almanac.com/ws/yr1942ws.shtml
1943 World Series,St. Louis Cardinals,1,New York Yankees,4,https://www.baseball-almanac.com/ws/yr1943ws.shtml
1944 World Series,St. Louis Cardinals,4,St. Louis Browns,2,https://www.baseball-almanac.com/ws/yr1944ws.shtml
1945 World Series,Chicago Cubs,3,Detroit Tigers,4,https://www.baseball-almanac.com/ws/yr1945ws.shtml
1946 World Series,St. Louis Cardinals,4,Boston Red Sox,3,https://www.baseball-almanac.com/ws/yr1946ws.shtml
1947 World Series,Brooklyn Dodgers,3,New York Yankees,4,https://www.baseball-almanac.com/ws/yr1947ws.shtml
1948 World Series,Boston Braves,2,Cleveland Indians,4,https://www.baseball-almanac.com/ws/yr1948ws.shtml
1949 World Series,Brooklyn Dodgers,1,New York Yankees,4,https://www.baseball-almanac.com/ws/yr1949ws.shtml
1950 World Series,Philadelphia Phillies,0,New York Yankees,4,https://www.baseball-almanac.com/ws/yr1950ws.shtml
1951 World Series,New York Giants,2,New York Yankees,4,https://www.baseball-almanac.com/ws/yr1951ws.shtml
1952 World Series,Brooklyn Dodgers,3,New York Yankees,4,https://www.baseball-almanac.com/ws/yr1952ws.shtml
1953 World Series,Brooklyn Dodgers,2,New York Yankees,4,https://www.baseball-almanac.com/ws/yr1953ws.shtml
1954 World Series,New York Giants,4,Cleveland Indians,0,https://www.baseball-almanac.com/ws/yr1954ws.shtml
1955 World Series,Brooklyn Dodgers,4,New York Yankees,3,https://www.baseball-almanac.com/ws/yr1955ws.shtml
1956 World Series,Brooklyn Dodgers,3,New York Yankees,4,https://www.baseball-almanac.com/ws/yr1956ws.shtml
1957 World Series,Milwaukee Braves,4,New York Yankees,3,https://www.baseball-almanac.com/ws/yr1957ws.shtml
1958 World Series,Milwaukee Braves,3,New York Yankees,4,https://www.baseball-almanac.com/ws/yr1958ws.shtml
1959 World Series,Los Angeles Dodgers,4,Chicago White Sox,2,https://www.baseball-almanac.com/ws/yr1959ws.shtml
1960 World Series,Pittsburgh Pirates,4,New York Yankees,3,https://www.baseball-almanac.com/ws/yr1960ws.shtml
1961 World Series,Cincinnati Reds,1,New York Yankees,4,https://www.baseball-almanac.com/ws/yr1961ws.shtml
1962 World Series,San Francisco Giants,3,New York Yankees,4,https://www.baseball-almanac.com/ws/yr1962ws.shtml
1963 World Series,Los Angeles Dodgers,4,New York Yankees,0,https://www.baseball-almanac.com/ws/yr1963ws.shtml
1964 World Series,St. Louis Cardinals,4,New York Yankees,3,https://www.baseball-almanac.com/ws/yr1964ws.shtml
1965 World Series,Los Angeles Dodgers,4,Minnesota Twins,3,https://www.baseball-almanac.com/ws/yr1965ws.shtml
1966 World Series,Los Angeles Dodgers,0,Baltimore Orioles,4,https://www.baseball-almanac.com/ws/yr1966ws.shtml
1967 World Series,St. Louis Cardinals,4,Boston Red Sox,3,https://www.baseball-almanac.com/ws/yr1967ws.shtml
1968 World Series,St. Louis Cardinals,3,Detroit Tigers,4,https://www.baseball-almanac.com/ws/yr1968ws.shtml
1969 World Series,New York Mets,4,Baltimore Orioles,1,https://www.baseball-almanac.com/ws/yr1969ws.shtml
1970 World Series,Cincinnati Reds,1,Baltimore Orioles,4,https://www.baseball-almanac.com/ws/yr1970ws.shtml
1971 World Series,Pittsburgh Pirates,4,Baltimore Orioles,3,https://www.baseball-almanac.com/ws/yr1971ws.shtml
